Project Type,City,County,Digester Type,Animal/Farm Type(s),Cattle,Dairy,Poultry,Swine,Biogas Generation Estimate (cu-ft/day),Electricity Generated (kWh/yr),Biogas End Use(s),Receiving Utility,Total Emission Reductions (MTCO2e/yr),Awarded USDA Funding?
Multiple Farm/Facility,Coopersville,Ottawa,Unknown or Unspecified,Dairy,,3000,,,,,Pipeline Gas,,3639.010918,
Farm Scale,Freeport,Barry,Complete Mix,Dairy,,3300,,,,11913600,Electricity; Boiler/Furnace fuel,,31274.03026,Yes
Farm Scale,Ravenna,Muskegon,Complete Mix,Dairy,,1000,,,,,Cogeneration,,2941.271408,
Multiple Farm/Facility,Hamilton,Allegan,Complete Mix,Dairy; Swine,,450,,16000,,657000,Cogeneration; Boiler/Furnace fuel,,5826.236699,Yes
Farm Scale,Elsie,Shiawassee,Complete Mix,Dairy,,3200,,,329000,6500000,Electricity,Consumers Energy Company,14047.76451,
Farm Scale,Greenville,Montcalm,Unknown or Unspecified,Dairy,,3020,,,,,Pipeline Gas,ANR Pipeline,30144.00803,
Research,Lansing,Ingham,Complete Mix,Dairy,,360,,,158000,2800000,Cogeneration,,2683.932277,
Farm Scale,Coopersville,Ottawa,Complete Mix,Dairy,,3100,,,80000,223380,Cogeneration,,9277.252408,
Farm Scale,Hartford,Van Buren,Unknown or Unspecified,Dairy,,5750,,,,,Pipeline Gas,ANR Pipeline,57393.39276,
Multiple Farm/Facility,Fennville,Allegan,Complete Mix,Dairy; Swine,,3700,,9000,324000,3138817,Cogeneration,Consumers Energy Company; Michigan Gas Utilities Corp,33893.56527,Yes
Farm Scale,Morenci,Lenawee,Unknown or Unspecified,Dairy,,3250,,,,,Pipeline Gas,Rover Pipeline,32439.74374,
Farm Scale,Orleans,Ionia,Mixed Plug Flow,Dairy,,3830,,,,,Boiler/Furnace fuel,,35319.26816,
Farm Scale,Lake Benton,Lincoln,Complete Mix,Dairy,,2000,,,,,Pipeline Gas,,7356.848523,
Farm Scale,Hancock,Stevens,Mixed Plug Flow,Dairy,,5520,,,634800,,CNG,Alliance,42290.74251,
Farm Scale,Princeton,Mille Lacs,Horizontal Plug Flow,Dairy,,900,,,70000,1226400,Electricity; Cogeneration,East Central Energy,3218.576398,
Farm Scale,Le Sueur,Le Sueur,Complete Mix,Dairy,,3000,,,374400,4839900,Cogeneration,,26743.9629,
Farm Scale,St. Peter,Nicollet,Horizontal Plug Flow,Dairy,,3000,,,,2803200,Cogeneration,,9812.289192,
Farm Scale,Morris,Stevens,Mixed Plug Flow,Dairy,,7665,,,881475,,CNG,Alliance,55826.46286,
